"N","INTEGRANTES","Total",""
"1","Frano","1000",""
"2","Mo","680",""
"3","Charkmon","630",""
"4","Phi Ro","530",""
"5","Nico","432",""
"6","Feña","425",""
"7","Seba (?","276",""
"8","Clvago","250",""
"9","Juan","250",""
"10","Hana","235",""
"11","Kta","220",""
"12","Vicente ","205",""
"13","Victor","172",""
"14","Nano","168",""
"15","Josue","155",""
"16","ddnyzz","150",""
"17","Cots5","150",""
"18","Pato","140",""
"19","G.D.Baradit","115",""
"20","Población de riesgo","110",""
"21","Neerix","100",""
"22","Bup","95",""
"23","Bastian","90",""
"24","Nako","85",""
"25","David","74",""
"26","Gonzalo","70",""
"27","KonxB","60",""
"28","Mayu","58",""
"29","Cubo","54",""
"30","Trincado","45",""
"31","Fabian","33",""
"32","Feli","25",""
"33","Caracoles","25",""
"34","Yume","20",""
"35","Kaali","20",""